B,candidate_idx,sample_idx,d,rank
100,16,18,0.10844187537055526,2
100,17,18,11.11926691920229,24
100,18,18,19.07663562860167,26
100,19,18,0.10518178116953648,1
100,20,18,0.4426868681415296,7
100,21,18,6.581518264638051,20
100,22,18,1.0607578460720855,11
100,23,18,25.72136774886956,29
100,24,18,2.1664397355592793,15
100,25,18,8.356640248966794,22
100,26,18,0.32028631969722,5
100,27,18,0.10375118649385934,0
100,28,18,0.11128897138895831,3
100,29,18,0.6105532012061751,9
100,0,19,2.155061016670822,15
100,1,19,3.9646569478463287,18
100,2,19,0.3909756217797609,6
100,3,19,11.562157604204808,24
100,4,19,1.93992510666951,13
100,5,19,21.25729530507186,27
100,6,19,6.111737763796674,20
100,7,19,0.09352099988788445,0
100,8,19,3.3242013640706354,16
100,9,19,3.9490350415716,17
100,10,19,0.4353534453679291,7
100,11,19,1.2202706322881982,12
100,12,19,5.5129094586047,19
100,13,19,11.704259886990382,25
100,14,19,0.8738098572895994,10
100,15,19,26.707194958434442,28
100,16,19,0.10900215272089145,1
100,17,19,10.355159868756148,22
100,18,19,20.463232008052316,26
100,19,19,0.10970595826591398,2
100,20,19,0.4861922841308479,8
100,21,19,7.528602852645802,21
