Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e13_obd
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7152e+00
Starting OBD sparsification loop
step  239 | acc=0.9180 | NZ=  1921 | sparsity=0.1106 | d_m=2.8902e-01
step  240 | acc=0.9180 | NZ=  1920 | sparsity=0.1111 | d_m=3.4434e-01
step  241 | acc=0.9180 | NZ=  1919 | sparsity=0.1116 | d_m=3.7239e-01
step  242 | acc=0.9180 | NZ=  1918 | sparsity=0.1120 | d_m=4.0739e-01
step  243 | acc=0.9180 | NZ=  1917 | sparsity=0.1125 | d_m=4.4041e-01
step  244 | acc=0.9180 | NZ=  1916 | sparsity=0.1130 | d_m=5.1020e-01
step  245 | acc=0.9170 | NZ=  1915 | sparsity=0.1134 | d_m=5.6244e-01
step  246 | acc=0.9170 | NZ=  1914 | sparsity=0.1139 | d_m=4.5986e-01
step  247 | acc=0.9170 | NZ=  1913 | sparsity=0.1144 | d_m=3.8159e-01
step  248 | acc=0.9170 | NZ=  1912 | sparsity=0.1148 | d_m=3.2612e-01
step  249 | acc=0.9170 | NZ=  1911 | sparsity=0.1153 | d_m=2.8851e-01
step  250 | acc=0.9170 | NZ=  1910 | sparsity=0.1157 | d_m=3.2981e-01
step  251 | acc=0.9170 | NZ=  1909 | sparsity=0.1162 | d_m=4.6395e-01
step  252 | acc=0.9170 | NZ=  1908 | sparsity=0.1167 | d_m=5.3825e-01
step  253 | acc=0.9170 | NZ=  1907 | sparsity=0.1171 | d_m=6.1075e-01
step  254 | acc=0.9170 | NZ=  1906 | sparsity=0.1176 | d_m=7.2339e-01
step  255 | acc=0.9170 | NZ=  1905 | sparsity=0.1181 | d_m=7.9125e-01
step  256 | acc=0.9170 | NZ=  1904 | sparsity=0.1185 | d_m=8.4925e-01
step  257 | acc=0.9170 | NZ=  1903 | sparsity=0.1190 | d_m=9.0625e-01
step  258 | acc=0.9170 | NZ=  1902 | sparsity=0.1194 | d_m=9.9764e-01
step  259 | acc=0.9170 | NZ=  1901 | sparsity=0.1199 | d_m=1.0558e+00
