step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
212,1848,2060,0.102913,0.923,2.239897e+02,2.593952e-02,0.2025,3.0078,1,3,5,1758,89
213,1847,2060,0.103398,0.924,2.464744e+02,3.931889e-03,0.2085,3.0024,0,5,193,1757,89
214,1846,2060,0.103883,0.925,2.492101e+02,9.279795e-04,0.21,3.0005,0,7,182,1756,89
215,1845,2060,0.104369,0.925,2.521190e+02,1.225131e-03,0.21,2.9995,0,9,195,1755,89
216,1844,2060,0.104854,0.925,2.547400e+02,1.432815e-03,0.2018,2.9999,0,3,26,1754,89
217,1843,2060,0.10534,0.924,2.571658e+02,1.793753e-03,0.2003,2.9974,0,8,159,1753,89
218,1842,2060,0.105825,0.924,2.607935e+02,1.555530e-03,0.2073,3.0009,0,1,166,1752,89
219,1841,2060,0.106311,0.924,2.650426e+02,1.559596e-03,0.2032,3.0141,0,1,170,1751,89
220,1840,2060,0.106796,0.924,2.695620e+02,1.581673e-03,0.2089,3.0038,0,1,40,1750,89
221,1839,2060,0.107282,0.925,2.740652e+02,1.920680e-03,0.2035,2.9982,0,0,186,1749,89
222,1838,2060,0.107767,0.925,2.780611e+02,9.099011e-02,0.2071,3.0075,1,8,2,1749,88
223,1837,2060,0.108252,0.923,3.045694e+02,4.106882e-03,0.208,3.0004,0,5,97,1748,88
224,1836,2060,0.108738,0.923,3.085710e+02,1.275045e-03,0.2034,3.0072,0,9,139,1747,88
225,1835,2060,0.109223,0.923,3.121026e+02,1.910245e-03,0.2108,3.0074,0,8,97,1746,88
226,1834,2060,0.109709,0.923,3.170998e+02,1.273682e-03,0.2,3.0116,0,9,124,1745,88
227,1833,2060,0.110194,0.923,3.202757e+02,4.503421e-03,0.2049,3.0065,0,5,6,1744,88
228,1832,2060,0.11068,0.923,3.243114e+02,4.303702e-03,0.213,3.0023,0,5,17,1743,88
229,1831,2060,0.111165,0.923,3.295746e+02,4.465370e-03,0.2053,3.0141,0,5,155,1742,88
230,1830,2060,0.11165,0.923,3.371932e+02,4.286291e-03,0.2056,3.0037,0,5,70,1741,88
231,1829,2060,0.112136,0.923,3.412966e+02,4.252563e-03,0.2072,3.0003,0,5,125,1740,88
232,1828,2060,0.112621,0.923,3.449727e+02,4.451385e-03,0.2096,3.0018,0,5,18,1739,88
233,1827,2060,0.113107,0.923,3.489220e+02,1.473472e-03,0.2034,2.9989,0,6,10,1738,88
234,1826,2060,0.113592,0.923,3.534117e+02,1.042277e-03,0.2093,2.9903,0,7,9,1737,88
235,1825,2060,0.114078,0.923,3.563051e+02,1.688903e-03,0.2103,3.0074,0,1,14,1736,88
236,1824,2060,0.114563,0.923,3.607954e+02,8.718821e-04,0.2134,3.0074,0,4,44,1735,88
237,1823,2060,0.115049,0.924,3.647681e+02,1.739024e-03,0.2118,2.994,0,1,42,1734,88
238,1822,2060,0.115534,0.924,3.698918e+02,1.079952e-02,0.2075,3.0016,0,2,180,1733,88
239,1821,2060,0.116019,0.924,3.826134e+02,1.051609e-02,0.205,2.997,0,2,185,1732,88
240,1820,2060,0.116505,0.924,3.820123e+02,1.123714e-02,0.2051,2.9959,0,2,94,1731,88
241,1819,2060,0.11699,0.924,3.933887e+02,1.194321e-02,0.1988,3.0123,0,2,134,1730,88
242,1818,2060,0.117476,0.924,3.919283e+02,1.222606e-02,0.2107,2.9934,0,2,67,1729,88
243,1817,2060,0.117961,0.924,4.005930e+02,1.360413e-02,0.1979,2.9936,0,2,49,1728,88
244,1816,2060,0.118447,0.924,3.912673e+02,1.047864e-02,0.2025,3.0001,0,2,178,1727,88
245,1815,2060,0.118932,0.924,4.066460e+02,1.136100e-02,0.2102,2.9911,0,2,195,1726,88
246,1814,2060,0.119417,0.924,4.039930e+02,1.470255e-02,0.1993,3.0094,0,2,17,1725,88
247,1813,2060,0.119903,0.924,4.003033e+02,1.217568e-02,0.1994,3.008,0,2,23,1724,88
248,1812,2060,0.120388,0.924,3.991890e+02,1.195296e-02,0.2056,2.9959,0,2,146,1723,88
249,1811,2060,0.120874,0.924,4.093875e+02,1.376399e-02,0.2087,3.0111,0,2,35,1722,88
250,1810,2060,0.121359,0.924,4.082303e+02,1.561332e-02,0.2047,2.9984,0,2,27,1721,88
251,1809,2060,0.121845,0.924,4.095358e+02,1.505215e-02,0.2103,2.9945,0,2,105,1720,88
